matchId,teamId,playerId,number,tries,metresGained,carries,defendersBeaten,cleanBreaks,passes,offloads,turnoversConceded,tryAssists,points,tackles,missedTackles,turnoversWon,kicksInPlay,conversions,penaltyGoals,dropGoals,throwsWon,lineoutsWon,lineoutSteals,penaltiesConceded,redCards,yellowCards
933875,150,11161,17,0,10,2,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0
933875,150,17209,21,0,0,0,0,0,14,0,0,0,0,5,2,1,2,0,0,0,0,0,0,0,0,0
933875,150,19595,5,0,3,6,1,0,5,0,1,0,0,10,0,0,0,0,0,0,0,4,1,0,0,0
933875,150,19813,3,0,2,5,0,0,0,0,1,0,0,13,2,0,0,0,0,0,0,0,0,1,0,0
933875,150,21457,10,0,2,1,0,0,15,0,1,0,0,4,1,0,6,0,0,0,0,0,0,0,0,0
933875,150,21988,14,1,24,4,2,1,3,0,1,1,5,1,1,1,0,0,0,0,0,0,0,0,0,0
933875,150,22126,8,0,36,4,1,0,6,0,1,0,0,7,0,0,0,0,0,0,0,2,0,1,0,0
933875,150,22494,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
933875,150,25551,13,0,14,7,3,0,5,1,1,0,0,5,1,2,3,0,0,0,0,0,0,0,0,0
933875,150,25565,18,0,1,2,1,0,1,1,0,0,0,7,0,0,0,0,0,0,0,0,0,2,0,0
933875,150,25604,1,0,0,1,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0
933875,150,26101,22,0,0,0,0,0,5,0,0,0,5,3,0,0,2,1,1,0,0,0,0,0,0,0
933875,150,26163,12,0,34,6,0,0,5,0,1,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0
933875,150,26784,19,0,5,1,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,2,0,0,0,0
933875,150,26989,6,0,17,10,3,0,1,0,0,0,0,9,3,0,0,0,0,0,0,1,0,1,0,0
933875,150,27287,9,1,8,1,0,0,49,0,2,1,16,3,2,0,3,1,3,0,0,0,0,0,0,0
933875,150,32082,20,0,0,0,0,0,2,0,1,0,0,5,1,1,0,0,0,0,0,0,0,0,0,0
933875,150,32158,7,0,2,1,0,0,4,0,1,0,0,10,2,0,0,0,0,0,0,0,0,0,0,0
